Tracking_Number,Species,Date,Time,Lat,Long
174448,Blue Whale 3,19/12/18,4:47:33,33.726N,118.103W
174448,Blue Whale 3,20/12/18,1:58:57,33.720N,118.238W
174448,Blue Whale 3,21/12/18,3:09:42,33.719N,118.281W
174448,Blue Whale 3,22/12/18,2:59:20,33.646N,118.160W
174448,Blue Whale 3,23/12/18,1:45:24,33.554N,117.821W
174448,Blue Whale 3,24/12/18,2:03:23,33.552N,117.655W
174448,Blue Whale 3,25/12/18,4:07:01,33.554N,117.822W
174448,Blue Whale 3,25/12/18,4:51:57,33.554N,117.817W
174448,Blue Whale 3,26/12/18,4:34:07,33.291N,117.626W
174448,Blue Whale 3,27/12/18,3:43:49,32.855N,117.277W
174448,Blue Whale 3,27/12/18,12:08:54,32.851N,117.275W
174448,Blue Whale 3,28/12/18,15:54:55,32.849N,117.276W
174448,Blue Whale 3,29/12/18,17:32:08,32.841N,117.285W
